,tweet
94,"['lead', 'better', 'win', 'damn', 'game', 'go', 'riot', 'shit', '#earlychristma', 'better', 'sta', 'loot', 'fig']"
95,"['go', 'back', 'school', 'suck', 'dick', 'hoe', 'attend', 'it']"
96,"['way', 'fuck', 'to', 'bitch', '9', 'year', 'old']"
97,"['come', 'never', 'bring', 'food', 'car', 'retard']"
98,"['richnow', 'show', 'hell', 'tinder', 'hoe', 'I', 'friend', 'anymor', 'chill', 'brought', 'like', 'like', '8', 'peopl']"
99,"['bout', 'cowboy', 'shut', 'hussi']"
100,"['lmaooooooooooo', 'night', 'bitch', 'want', 'like', 'depress', 'shit', 'foh']"
101,"['girl', 'know', 'spit', 'g', 'shit', 'go', 'love', 'bitch', 'pli']"
102,"['let', 'make', 'coupl', 'sweet', 'buzz', 'page', 'get', 'twitter', 'jail', 'may', 'bitch', 'trick']"
103,"['harlem', 'shake', 'excus', 'go', 'full', 'retard', '30', 'second']"
104,"['amen', 'mile', 'folded_hand', 'need', 'act', 'like', 'he', 'bc', 'emot', 'damag', 'foh']"
105,"['one', 'loyal', 'femal', 'wayyyyy', 'better', 'hoe', 'ida', 'hundred_point']"
106,"['hussi', 'lick', 'hussi', 'me', 'me', '#stopwhitepeople2014', 'cat_fac', 'confused_fac']"
107,"['check', 'with', 'man', '#cowboysn', 'even', 'maggot', 'ny', 'fan', 'stand']"
108,"['happen', 'given', 'went', 'birch', 'got', 'ran', 'threw', 'side', 'like', 'foothold', 'bitch']"
109,"['I', 'bitch', 'okay', 'node', 'pat', 'sleepy_fac', 'smirking_fac', 'frog_fac', 'now']"
110,"['fuck', 'gay', 'blacklist', 'he', 'hold', '#tehgodclan', 'anyway']"
111,"['fuck', 'wrong', 'birch', '?', 'nobodi', 'know']"
112,"['shut', 'up', 'make', 'bitch']"
113,"['hate', 'I', 'pregnant', 'type', 'bitch']"
114,"['got', 'birch', 'do', 'ever', ""read'em"", 'top', '3']"
115,"['basebal', 'season', 'win', '#yanke', 'love', 'stand']"
116,"['littl', 'stupid', 'bitch', 'fuck', 'yoooooouuuu']"
117,"['realli', 'ask', 'dead', 'as', 'seriou', 'the', 'could', 'say', 'bitch', 'wheat', 'll']"
118,"['I', 'earli', 'bird', 'I', 'night', 'owl', 'I', 'wise', 'worm']"
119,"['overcom', 'heavi', 'drug', 'sound', 'bad', 'tonight', 'hussi', 'shit', 'everi', 'day']"
120,"['pit', 'ball', 'photograph', 'love', 'fairi', 'tale', 'creatur', 'are', 'fairi', 'tale', 'creatur']"
121,"['a', 'far', 'sweet', 'a', 'll']"
122,"['long', 'layer', 'trash', 'on', 'could', 'careless', 'real', 'c', 'havana']"
123,"['say', 'anyth', 'the', 'kiss', 'maggot']"
124,"['i', 'play', 'soccer', 'cheat', 'girl', 'wear', 'shake', 'colour', 'cargo', 'haircut', 'face_with_tears_of_joy', 'up']"
125,"['could', 'go', 'fat', 'as', 'bitch', 'lap']"
126,"['17', 'miss', 'call', 'angry_fac', 'pouting_fac', 'da', 'to', 'p', 'o', 'bitch', 'twitter', 'finn', 'scream', '#freemoneymel']"
127,"['a', 'side', 'bitch', 'got', 'know', 'rule', 'shit', 'anybodi', 'ask', 'cousin', 'jersey', 'think', 'bout', 'move', 'lmmfao', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'face_with_tears_of_joy']"
128,"['3', '|', 'am', 'lo', 'pie', 'fuck', 'yeah']"
129,"['hoe', 'think', 'meat', 'slap', 'as', 'sleeping_fac', 'waving_hand', 'anna', 'brush']"
130,"['birch', 'wit', 'edg', 'talk', 'weary_fac', 'sleeping_fac', 'raised_hand', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'face_with_tears_of_joy']"
131,"['still', 'go', 'trick', 'treat', 'year', 'ah', '?', 'hell', 'yeah', 'I', 'go', 'da', 'sweet', 'tooth', 'bandit', 'steal', 'birch', 'bag', 'n', 'shit']"
132,"['want', 'sex', 'mon', 'fuck', 'right', 'hussi', 'came', 'from', 'damn', 'got', 'hack', 'like', 'fuck']"
133,"['kiss', 'eye', 'open', 'watch', 'bitch', 'lafa']"
134,"['would', 'could', 'should', 'as', 'he', 'flushed_fac', 'speak-no-evil_monkey']"
135,"['happi', 'day', 'bitch', 'as', 'night', 'precis', 'bitch', 'roll', 'up']"
136,"['use', 'send', 'bitch', 'up']"
137,"['ugli', 'birch', 'like', 'I', 'www', 'due', 'bitch', 'nobodi', 'el', 'face_with_tears_of_joy', 'face_with_tears_of_joy']"
138,"['night', 'know', 'hack', 'sack', 'hoe', 'ah', 'throw', 'look', 'pas', 'may']"
139,"['glad', 'I', 'get', 'gutta', 'atlanta', 'noth', 'bunch', 'night', 'gutta', 'jail', 'dumb', 'birch', 'mad', 'kiss', 'fuck', 'em']"
140,"['hetti', 'it', 'sea', 'I', 'ida']"
141,"['would', 'wife', 'he', 'cut', 'would', 'care', 'cheat', 'other', 'whi', 'forc', 'relationship', 'first', 'place', '?']"
142,"['singl', 'excus', 'he']"
143,"['white', 'boy', 'power', 'bitch', 'black', 'power', 'bitch']"
144,"['let', 'u', 'get', 'drunk', 'get', 'bow', 'spit', 'shit', 'spark', 'blunt', 'fuck', 'hoe', 'brow', 'white', 'duke', 'chill']"
145,"['bitch', 'been', 'around', 'world', 'back', 'been', '?']"
146,"['get', 'dick', 'suck', 'to', 'pay', 'bad', 'bitch', 'I', 'fr', 'gone', 'set', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'by']"
147,"['#of', 'soon', 'cut', 'probabl', 'hoe', 'lot']"
148,"['everi', 'canon', 'away', 'save', 'hoe', 'may', 'may', 'damn', 'captain', 'saveaho']"
149,"['want', 'get', 'nose', 'bad', 'bori', '#scali', '#chat', '#sockfetish', '#stink', 'hot', 'so', 'leg']"
150,"['wish', 'bitch', 'like', 'brother', 'keep', 'unamused_fac', 'ooooow', 'bet']"
151,"['dress', 'cat', 'halloween', 'basic', 'or', 'hussi']"
152,"['pornhub', 'get', 'gaze', 'stream', 'featur', 'dumb', 'birch', 'to', 'get', 'kati', '3']"
153,"['stop', 'scare', 'choke', 'sex', 'bitch', 'as', 'night', 'she', 'll', 'like', 'it', 'say', 'guy', 'hit', 'woman', 'bed', 'foh']"
154,"['ha', 'well', 'guess', 'make', 'hoe', 'loyal', 'brow', 'never', 'loyal', 'hoe', 'fig']"
155,"['oh', 'man', 'it', '5', 'am', 'folli', 'ho', 'fuck', 'a', 'seed', 'at', '?', '?', '#fix']"
156,"['man', 'refer', 'everi', 'girl', 'bitch']"
157,"['lafa', 'cat', 'stand', 'beat', 'shit', 'me', 'night', 'final', 'got', 'hussi', '?', '?', 'night']"
158,"['feel', 'feel', 'bring', 'back', 'remind', 'back', 'I', 'move', 'shan', 'line', 'ooooow', 'of', 'said', 'trash', '?']"
159,"['to', 'to', 'all', 'record', 'ho', 'vine', 'said', 'pe', 'ahahah', 'll', 'anywaaaaaay', 'hata']"
160,"['now', 'old', 'tape', 'new', 'cover', 'come', 'mistak', '#kingofthehil', 'yeah', 'I', 'wait', 'he', 'main']"
161,"['of', 'did', 'foot', 'as', 'birch', 'funni', 'me']"
162,"['get', 'yellow', 'flag', 'amaz', 'clapping_hand', 'relieved_fac', 'hell', 'yeah', 'night']"
163,"['got', 'time', 'birch', 'action', 'if']"
164,"['#ucfpinkpay', 'come', 'stay', 'aliv', 'knight', 'nation', 'still', 'earli', 'bird', 'special', '#comeatmeut']"
165,"['hoe', 'loyal', ';', 'such', 'wonder', 'nobodi', 'decent', 'want']"
166,"['brush', 'studi', 'keep', 'think', 'I', 'soft', 'hell', 'ask', 'a', 'girl', 'mani', 'time', 'scream', 'bitch', 'oh', 'okay', 'soft', 'bye', 'he']"
167,"['dri', 'hussi', 'birch', 'alway', 'blame', 'london', 'face_with_tears_of_joy', 'clapping_hand', 'face_with_tears_of_joy', 'clapping_hand', 'face_with_tears_of_joy']"
168,"['shut', 'to', 'bitch', 'as', 'up', 'loudly_crying_fac', 'face_with_tears_of_joy']"
169,"['cocci', 'mane', 'jail', 'drop', 'mistak', 'everi', 'month', 'hoe', 'even', 'text', 'back']"
170,"['love', 'hoe', 'money', 'wa', 'wrong', 'night']"
171,"['loyal', 'bitch', 'burn', 'without', 'daddi', 'issu', 'like', 'find', 'photograph', 'mewtwo', 'sound', 'like', 'll']"
172,"['easi', 'cum', 'easi', 'he', 'fact']"
173,"['charli', 'sheen', 'real', 'major', 'fuck', 'respect', 'charli', 'sheen']"
174,"['wish', 'be', 'confused_fac', 'got', 'hoe', 'the']"
175,"['fuck', 'work', 'bitch', 'cook', '?']"
176,"['bitch', 'utf']"
177,"['shut', 'toe', 'fight', 'hussi', 'toe', '?', 'I', 'good', 'man', 'good', 'madam', 'move', 'along']"
178,"['may', 'fuck', 'snake', 'birch', 'em']"
179,"['big', 'booti', 'hoe', 'everywher', 'speech', 'smiling_face_with_heart-ey', 'damn', 'herb', 'eye', 'herb']"
180,"['stay', 'tune', 'updat', 'rep', 'b', '8-10', 'week', '#but']"
181,"['i', 'play', 'soccer', 'cheat', 'girl', 'wear', 'shake', 'colour', 'cargo', 'haircut', 'ye', 'lafa']"
182,"['oregon', 'choke', 'everi', 'year', 'get', 'field', 'trash', 'as', 'program', 'rat']"
183,"['def', 'cowboy', 'll', 'tarbel', 'wen', 'best', 'eagl', 'cowboy', 'ever', 'due', 'cri', 'like', 'bitch', 'to', 'room']"
184,"['lmfaoooo', 'hate', 'black', 'peopl', 'black', 'peopl', 'nigger']"
185,"['could', 'bitch', 'potent']"
186,"['pas', 'lad', 'past', 'out', 'would', 'lick', 'did', 'sole', 'slept']"
187,"['love', 'fat', 'boy', 'w', 'soft', 'long', 'sole']"
188,"['sex', 'lad', 'hot', 'sole', 'arch']"
189,"['ah', 'am', 'got', 'cheat', 'hoe', 'depend', 'femal', 'feel']"
190,"['clapping_hand', 'clapping_hand', 'clapping_hand', 'raising_hand', 'got', 'lick', 'll']"
191,"['new', 'twitter', 'confus', 'shit', 'me', 'go', 'back', 'south', 'america', 'bitch']"
192,"['too', 'mean', 'as', 'vagina', '?', 'i', 'think', 'hussi', 'too', 'anti', 'like', 'nasti', 'hussi']"
193,"['actual', 'choos', 'ugli', 'bitch', 'you', '?', 'her', 'as', 'must', 'fat']"
194,"['bitch', 'could', 'kill', 'vice', 'a', 'tri', 'rainbow', 'rainbow', 'rainbow', 'di', 'love', 'mile']"
195,"['I', 'tire', 'birch', 'say', 'look', 'mean', 'unamused_fac', 'night', 'big', 'of', 'wear', 'tight', 'hi', 'grim', 'everybodi']"
196,"['10', 'bird', 'grandkid', 'may', 'never', 'see', 'thank', 'climat', 'chang', '#climat']"
197,"['stay', 'beauti', 'bitch']"
198,"['#wutkinda', 'r', 'purpl', 'ceeelee', 'man', 'girl', 'just', 'plain', 'stupid', 'he', 'track', 'still', 'shift', 'sum', 'girl']"
199,"['money', 'get', 'taller', 'birch', 'get', 'flurri']"
200,"['never', 'seen', 'bitch', 'ob', 'night', 'face_with_tears_of_joy', 'I', 'ob', 'mine', 'expressionless_fac']"
201,"['robe', 'stay', 'talk', 'trash', 'let', 'u', 'forget', 'meant', 'one', 's']"
202,"['at', 'least', 'I', 'nigger', 'lafa']"
203,"['peopl', 'alway', 'ask', 'I', 'mix', 'with', 'bad', 'asia', 'bitch', 'll']"
204,"['area', 'snake', 'coward', 'least', 'crippl', 'like', 'hero', 'reach', 'malo']"
205,"['foster', 'home', 'imaginari', 'trash', 'whoa', 'chill', 'show', 'everyth', 'of']"
206,"['look', 'tire', 'if', 'tire', 'quiet', 'go', 'sleep', 'he']"
207,"['stop', 'bring', 'weird', 'nigger', 'mention']"
208,"['love', 'hoe', 'open_hand', 'person_gesturing_no']"
209,"['to', 'girl', 'homeboy', 'of', 'weak', 'bitch', 'as', 'night']"
210,"['think', 'worst', 'advic', 'gave', 'hussi', 'speed', 'up', 'll']"
211,"['quot', 'sweet', 'favorit', 'anim', 'hussi']"
212,"['hate', 'stripper', 'tell', 'dancer', 'he', 'ballet', 'dancer', 'pop', 'hussi', 'beethoven', 'strip']"
213,"['andrewbry', 'off', 'doubl', 'vision', '2', 'bee', 'off', 'doubl', 'hussi', 'smiling_face_with_sunglass', 's']"
214,"['birch', 'were', 'comput', 'me', 'in', 'a', 'bikini', 'a', 'damn', 'bikini', 'double_exclamation_mark', '']"
215,"['princ', 'a', 'nobodi', 'taken', 'bitch']"
216,"['61', 'welfar', 'govern', 'aid', 'claim', 'white', 'peopl', 'black', 'slander', 'trash', 'now']"
217,"['birch', 'care', 'play', 'role']"
218,"['took', 'find', 'me', 'hide', 'lime', 'tree', 'di', 'bitch', 'da', 'wrong', 'tree', 'brow']"
219,"['rake', 'new', 'shoe', 'releas', 'like', 'jordan', 'ye', 'glitter', 'shoe', 'duke', 'far']"
220,"['anna', 'di', 'hetti', 'alon', 'malo']"
221,"['hoe', 'austin', 'teach', 'u', 'austin', 'i', 'teach', 'get', 'curv', '?', 'know']"
222,"['birch', 'cook', 'know', 'suck', 'dick', 's', 'o', 'one', 'both']"
223,"['fat', 'hoe', 'get', 'chose', 'll']"
224,"['#hoesaintloy', 'well', 'hoe', 'no', 'one', 'expect', 'loyal']"
225,"['of', 'bitch', 'as']"
226,"['brush', 'I', 'tire', 'night', 'retweetin', 'mile', 'cyru', 'nake', 'bitch', 'type', 'bad', 'lmaooo']"
227,"['toni', 'room', 'mass', 'game', 'mean', 'still', 'bitch', 'may', 'fur', 'cowgirl', 'll', 'bitch', 'fuck']"
228,"['holi', 'shit', 'freddi', 'wigmor', 'charli', 'chocol', 'factori', 'me', 'roll', 'floor', 'laugh']"
229,"['i', 'want', 'sex', 'of', 'feel', 'like', 'I', 'use', 'her', 'anonym', 'what', 'maggot']"
230,"['one', 'follow', 'smiling_face_with_heart-ey', 'weary_fac', 'somebodi', 'bitch']"
231,"['a', 'bitch', 'alway', 'itch', 'clearli', 'care', 'annoy', 'bitch']"
232,"['catfish', 'hoe', 'think', 'sick', 'night', 'catch', 'relieved_fac']"
233,"['worri', 'bitch', 'worri', 'bout', 'me', '#real']"
234,"['side', 'hoe', 'insecur', 'night', 'handl', 'real', 'one']"
235,"['face_with_tears_of_joy', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'may', 'bitch', 'come', 'shoot', 'tent', 'like', 'fuck', 'shit', 'up', 'loudly_crying_fac', 'loudly_crying_fac', 'loudly_crying_fac']"
236,"['cousin', 'said', 'share', 'hoe', 'brother', 'said', 'share', 'dare', 'love', 'brother', 'face_with_tears_of_joy']"
237,"['I', 'hungri', 'inn', 'want', 'spend', 'money', 'food', 'unamused_fac', 'broke', 'he', 'problem', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'skull']"
238,"['den', 'hoe', 'lie', 'u', 'night']"
239,"['oh', 'yeah', 'fuck', 'bitch']"
240,"['epi', 'man', 'threw', 'nl-lead', 'with', 'intervent', 'season', 'may', 'trash']"
241,"['u', 'senior', 're', 'anthoni', 'brown', 'call', 'head', 'coach', 'steve', 'parisian', 'racism', 'quit', 'team', 'bitch']"
242,"['guess', 'what', '?', 'also', 'zero', 'time', 'mansplain', 'ladi', 'soft', 'hussi']"
243,"['shill', 'tongu', 'trade_mark', 'sex', 'scali', 'lad']"
244,"['share', 'bitch', 'mine', 'mine', 'hundred_point']"
245,"['money', 'impress', 'simpl', 'broke', 'birch']"
246,"['#piec', 'never', ""anybody'"", 'bitch', 'let', 'peopl', 'control', 'chang', 'them', 'rigghhht']"
247,"['take', 'ho', 'ink', 'bah', 'bah', 'bah', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'face_with_tears_of_joy']"
248,"['I', 'mad', 'cut', 'havana', 'sure', 'take', 'ho', 'it', 'face_with_tears_of_joy', 'face_with_tears_of_joy']"
249,"['hoe', 'crazi']"
250,"['ever', 'go', 'slice', 'bitch', 'even', 'ha']"
251,"['of', 'fuck', 'fine', 'the', 'weary_fac', 'dam', 'her', 'bitch']"
252,"['wonder', 'girl', 'gave', 'head', '24', 'boy', 'drink', 'magaluf', 'twitter', 'probabl', 'send', 'node', 'bag']"
253,"['#newsatquest', 'yeah', 'bitch', 'yeah', 'bitch', 'call', 'a', 'mayb', 'b', 'steve-o', 'c', 'later', 'd', 'hess', 'parkman']"
254,"['rocki', 'thigh', 'right', 'hussi', 'right']"
255,"['would', 'still', 'love', 'I', 'longer', 'young', 'beauti', '?', 'no', 'ugli', 'monkey', 'as']"
256,"['come', 'front', 'bitch', 'come']"
257,"['maggot', 'bitch']"
258,"['yea', 'I', 'pad', 'work', 'friday', 'let', 'u', 'ball', 'maggot', 'i', 'work', '2-5']"
259,"['scali', 'lad', 'would', 'get']"
260,"['#gerryshalloweenpay', 'halloween', 'yesterday', 'stupid', 'nigger']"
261,"['choru', 'still', 'supahot', 'the', 'walk', 'teacher', 'test', 'drop', 'test', 'bitch', 'head']"
262,"['love', 'eat', 'hussi', 'll', 'never', 'get', 'full', 'll', 'eat', 'shit', 'forev', 'll', 'ever']"
263,"['blush', 'sad_but_relieved_fac', 'hoe', 'nasti', 'anyway', 'am', 'sleeping_fac', 'them', 'hoe', 'tast', 'like', 'bed', 'grape', 'grape', 'baby_bottl']"
264,"['blush', 'sad_but_relieved_fac', 'hoe', 'nasti', 'anyway', 'am', 'sleeping_fac']"
265,"['bobbi', 'bitch-bi', 'get', 'live', 'fuck', 'hell', 'yea', 'play', 'he', 'lookout']"
266,"['to', 'bitch', 'cocci', 'mane', 'bitch', 'stoner', 'hundred_point', 'hundred_point']"
267,"['ride', 'bitch', 'handl', 'bar']"
268,"['he', 'get', 'traphoussseeee']"
269,"['15', 'sad', 'to', 'charact', 'death', 'still', 'bitter', 'over', 'stark', 'man']"
270,"['harbor', 'birch', 'pay', 'bu', 'hoe', 'll', 'all', '?']"
271,"['hussi', 'love']"
272,"['ultraviol', 'video', 'come', 'littl', 'bitch', '#mtvhottest', 'land', 'del', 'red', 'bitch', 'promo']"
273,"['way', 'fuck', 'bitch', 'lafa', 'kittycopt']"
274,"['smuggler', 'explain', 'help', 'fighter', 'along', 'jihadi', 'highway']"
275,"['www', 'axi', 'look', 'cut', 'togeth', 'couple_with_heart', 'skull', 'skull', 'skull', 'got', 'get', 'like', 'vi', 'bitch', '?']"
276,"['simpl', 'he', 'o', 'worri', 'expo', 'winking_face_with_tongu', 'fight', 'me', 'whi', '?']"
277,"['bitch', 'boast', 'size', 'exactli', 'healthi', 'the']"
278,"['bet', 'birch', 'face_with_tears_of_joy', 'open_hand', 'pistol', 'pistol', 'kitchen_knif', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'him', 'bye']"
279,"['damn', 'near', 'got', 'protect', 'sweet', 'talker', 'annoy', 'got', 'done', 'dick', 'drive', 'birch', 'lock']"
280,"['I', 'make', 'march', 'girlfriend', 'aye', 'b', 'pull', 'hoe', 'like', 'taught']"
281,"['brunn', 'far', 'boy', 'love', 'me']"
282,"['must', 'bitch', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'like', 'now', 'alway', 'be', 'face_with_tears_of_joy']"
283,"['6-1', '#yanke', 'look', 'ralli', 'bottom', 'th', '#rallycap']"
284,"['take', 'advantag', 'nice', 'person', 'hoe', 'everyjuan']"
285,"['happi', 'midday', 'bitch', 'night', 'thank', 'pal']"
286,"['sad', 'know', 'hoe', 'fuck', 'bc', 'got', 'stack', 'wait', 'till', 'friday']"
287,"['into', 'shit', 'harder', 'fuck', 'night', 'see', 'fuck', 'wit', 'rich', 'home', 'cut', 'day', 'a', 'somebodi', 'fuck', 'sicca']"
288,"['www', 'said', 'last', 'sunday', 'a', 'last', 'sunday', 'there', 'read', 'fig', 'flushed_fac', 'flushed_fac', 'flushed_fac']"
